row_id,merchant_raw,merchant,description_raw,amount,direction,native_category,cat,amt_band,merchant_state,transaction_date,stratum,resolution_tier,provider,gemini_leaf,sonnet_leaf,opus_leaf,gold_leaf,tier,resolution_source,general_category,reviewer_id
29980,,,AMT,2.890000000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debit,blank,2025-08-18,risk_t6bound_debit,T6_provider_crosswalk,plaid,restaurant_cafe,credit_card_repayment,unclassified_other,unclassified_card_spend,agent_review,agent_review: AMT 2.89 uninformative,unclassified,
29981,,,HALIFAX MASTERCARD 600000001630630367,62.280000000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debit,blank,2025-09-17,risk_t6bound_debit,T6_provider_crosswalk,plaid,credit_card_repayment,credit_card_repayment,,credit_card_repayment,human_reviewed,carlos,credit_loan_repayments,carlos
29982,Jennings,jennings,J JENNINGS 309277 30758660,42.000000000,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,ENTERTAINMENT_CASINOS_AND_GAMBLING,debit,filled,2025-07-28,risk_t6bound_debit,T6_provider_crosswalk,plaid,gambling_betting,gambling_unspecified,gambling_betting,gambling_betting,human_reviewed,carlos,gambling,carlos
29983,,,July overdraft fees,25.730000000,debit,BANK_PENALTIES_CASH_ADVANCE_AND_OVERDRAFT_FEES,BANK_PENALTIES_CASH_ADVANCE_AND_OVERDRAFT_FEES,debit,blank,2025-08-01,risk_t6bound_debit,T6_provider_crosswalk,plaid,overdraft_arranged,overdraft_arranged,,overdraft_arranged,human_reviewed,carlos,fees_charges,carlos
29984,,,THIRD PARTY PAYMENT MADE VIA FASTER PAYMENT TO ZABLE CARD REFERENCE ZABLE SANTANDER REFERENCE GXSDSK1C963MTG2BB3,25.000000000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debit,blank,2025-08-31,risk_t6bound_debit,T6_provider_crosswalk,plaid,credit_card_repayment,credit_card_repayment,,credit_card_repayment,human_reviewed,carlos,credit_loan_repayments,carlos
29985,Mulberry,mulberry,Mulberry,2.250000000,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,ENTERTAINMENT_CASINOS_AND_GAMBLING,debit,filled,2025-10-06,risk_t6bound_debit,T6_provider_crosswalk,plaid,pub_bar,gambling_unspecified,gambling_unspecified,unclassified_other,human_reviewed,carlos,unclassified,carlos
29986,,,AQUA              2298VKV8BT6PZZGY9HUC99669           TPP NATIONAL WESTMFP 01/08/25 10    15160855793113000N,44.420000000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debit,blank,2025-08-01,risk_t6bound_debit,T6_provider_crosswalk,plaid,credit_card_repayment,credit_card_repayment,,credit_card_repayment,human_reviewed,carlos,credit_loan_repayments,carlos
29987,Grosvenor Cd,grosvenor cd,GROSVENOR CD 7638,20.000000000,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,ENTERTAINMENT_CASINOS_AND_GAMBLING,debit,filled,2025-08-19,risk_t6bound_debit,T6_provider_crosswalk,plaid,gambling_casino,gambling_casino,,gambling_casino,human_reviewed,carlos,gambling,carlos
29988,Queen Of,queen of,CARD PAYMENT TO QUEEN OF HEARTS ON 06-09-2025,4.500000000,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,ENTERTAINMENT_CASINOS_AND_GAMBLING,debit,filled,2025-09-07,risk_t6bound_debit,T6_provider_crosswalk,plaid,pub_bar,gambling_unspecified,pub_bar,pub_bar,human_reviewed,carlos,eating_drinking_out,carlos
29989,,,HALIFAX CLARITY MA 600000001604707653,459.000000000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debit,blank,2025-08-01,risk_t6bound_debit,T6_provider_crosswalk,plaid,credit_card_repayment,credit_card_repayment,,credit_card_repayment,human_reviewed,carlos,credit_loan_repayments,carlos
29990,,,CARD PAYMENT TO PREMIER ASHWORTH LANE ON 21-07-2025,31.210000000,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debit,blank,2025-07-22,risk_t6bound_debit,T6_provider_crosswalk,plaid,groceries,convenience_store,groceries,convenience_store,human_reviewed,carlos,groceries_household_essentials,carlos
29991,,,UNPAID TRANSAC FEE30MAY A/C 59087587,1.550000000,debit,BANK_FEES_OTHER_BANK_FEES,BANK_FEES_OTHER_BANK_FEES,debit,blank,2025-06-20,risk_t6bound_debit,T6_provider_crosswalk,plaid,returned_payment,bank_charge_other,returned_payment,returned_payment,human_reviewed,carlos,fees_charges,carlos
29992,,,8166 23AUG25 CD   7360 THE TARBET   EDINBURGH GB,6.400000000,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,ENTERTAINMENT_CASINOS_AND_GAMBLING,debit,blank,2025-08-26,risk_t6bound_debit,T6_provider_crosswalk,plaid,pub_bar,gambling_unspecified,pub_bar,pub_bar,human_reviewed,carlos,eating_drinking_out,carlos
29993,,,AXL JAMES PARKER  LOAN FT,7.000000000,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,debit,blank,2025-08-20,risk_t6bound_debit,T6_provider_crosswalk,plaid,loan_repayment_manual,loan_repayment_manual,,loan_repayment_manual,human_reviewed,carlos,credit_loan_repayments,carlos
